"st","CYQ","year","quarter","Benefit","Benefit_12_Month","High_Benefit","Low_Benefit","Benefit_rank","High_Benefit_Date","Low_Benefit_Date","Initial_Claim","Initial_Claim_12_Month","High_Initial_Claim","Low_Initial_Claim","Initial_Claim_rank","High_Initial_Claim_Date","Low_Initial_Claim_Date","First_Payment","First_Payment_12_Month","High_First_Payment","Low_First_Payment","First_Payment_rank","High_First_Payment_Date","Low_First_Payment_Date","Weeks_Claimed","Weeks_Claimed_12_Month","High_Weeks_Claimed","Low_Weeks_Claimed","Weeks_Claimed_rank","High_Weeks_Claimed_Date","Low_Weeks_Claimed_Date","Weeks_Compensated","Weeks_Compensated_12_Month","High_Weeks_Compensated","Low_Weeks_Compensated","Weeks_Compensated_rank","High_Weeks_Compensated_Date","Low_Weeks_Compensated_Date","Exhaustions","Exhaustions_12_Month","High_Exhaustions","Low_Exhaustions","Exhaustions_rank","High_Exhaustions_Date","Low_Exhaustions_Date","Exhaustion_Rate","High_Exhaustion_Rate","Low_Exhaustion_Rate","Exhaustion_Rate_rank","High_Exhaustion_Rate_Date","Low_Exhaustion_Rate_Date","Average_Duration","High_Average_Duration","Low_Average_Duration","Average_Duration_rank","High_Average_Duration_Date","Low_Average_Duration_Date","AWBA","AWBA_12_Month","High_AWBA","Low_AWBA","AWBA_rank","High_AWBA_Date","Low_AWBA_Date","Replacement_Rate","Extended_Benefit","Extended_Benefit_12Mon","Hi_Extended_Benefit","Extended_Benefit_Rank","Hi_EB_Date","EB_First_Payment","EB_First_Payment_12Mon","Hi_EB_First_Payment","EB_First_Payment_Rank","Hi_EB_First_date","EB_Weeks_Claimed","EB_Weeks_Claimed_12Mon","Hi_EB_Weeks_Claimed","EB_Weeks_Claimed_Rank","Hi_EB_Weeks_Claimed_Date","EB_Exh","EB_Exh_12Mon","Hi_EB_Exh","EB_Exh_Rank","Hi_EB_Exh_Date","Avg_Ben_Fir_Pay_12Month","Avg_Ben_Fir_Pay_12Month_rank","Replacement_Rate_Rank","State_Revenue","State_Revenue_Rank","State_Benefit","State_Benefit_Rank","Total_Wages","Total_Wages_Rank","Taxable_Wages","Taxable_Wages_Rank","AWW","AWW_Rank","Rate_On_Taxable_Wages","Rate_On_Taxable_Wages_Rank","Rate_On_Total_Wages","Rate_On_Total_Wages_Rank","TWB","TWB_Rank","TFBalance","TFBalance_Rank","TFPCTW","TFPCTW_Rank","HCM","HCM_Rank","Month_Benefit","Month_Benefit_Rank","Loans","Loans_Rank","Non_interest_Loans","nilork","interest_Loans","intlor","LPCE","LPCE_Rank","CYQ_Taxable_Wages","CYQ_Total_Wages","IUR","IUR_Rank","TUR","TUR_Rank","Total_Unemployment","Total_Unemployment_Rank","Regular_Program","Regular_Program_Rank","Rec_Rate_Regular","Rec_Rate_Regular_Rank","All_Program","All_Program_Rank","Rec_Rate_All","Rec_Rate_All_Rank","Covered_Employment","Covered_Employment_Rank","Civlian_Labor_Force","Civlian_Labor_Force_Rank","st_name","lag2first_payment","staxemp2","AHCM","AHCM_Rank","staxemp","staxemp_Rank","Est_Total_Wage","IUR_12Mon","TUR_12Mon","All_Program_12Mon","Regular_Program_12Mon","Total_Unemployment_12Mon","Covered_Employment_12Mon","Civlian_Labor_Force_12Mon","Rec_Rate_All_12Mon","Rec_Rate_Regular_12Mon","Sub_Employer","Sub_Employer_12Mon","Sub_Employer_Rank","Interest","LPCTW","LPCTW_Rank","Interest_Rank","Bond_Amount","Bond_Date"
"NC","2018.1",2018,1,48407.313,188175.749,752297.965,5433.301,32,2009.2,1973.4,34977,147664,603073,34977,26,1982.1,2018.1,21302,79993,247972,13856,21,1975.1,1972.4,256952,1052220,2823864,166169,25,2009.2,1973.4,191659,738717,2515240,131814,28,2009.2,1973.4,9889,41433,92476,1894,14,2009.3,1973.4,0.461017213178596,0.638513767904336,0.125096452987462,5,2010.2,1989.1,9.23477054242246,18.43,7.45,52,2010.2,1988.4,256.528327119689,258.691244422129,311,38.8,45,2009.3,1972.2,27.9407873555892,1.084,1.084,161722.169,6,2011.1,0,0,50161,28,2010.2,0,0,572612,30,2011.1,1,1,25763,4,2011.1,2352.40269773605,51,42,805283.95535,12,188175.749,28,204147717.256,12,72557837.129,6,925.855242122878,25,1.11956963043945,45,0.490073522306633,34,23100,16,3235061.285,5,1.92100380842172,14,"0.75","15",206.300416638703,1,0,27.5,0,1,1,1,0,27.5,12094925.504,49578001.849,0.471283677422764,52,4.51215676483765,20,224.224666666667,10,19.9812307692308,25,8.91125453156986,52,19.9812307692308,25,8.91125453156986,52,4252.977,9,4969.34566666667,9,"North Carolina",20264,165757885.71,"1.19","15",40253635.951,14,168404730.423616,0.480946213249845,4.45276056316798,20.4877884615385,20.4877884615385,220.827916666667,4240.31475,4959.04916666667,9.27771668129449,9.27771668129449,221.739,218.99725,12,17952.56309,0,27.5,5,0,"N.A."
"ND","2018.1",2018,1,49046.649,107222.054,80093.824,619.917,30,2016.1,1971.3,9208,33998,19830,1942,46,1982.4,1971.3,7162,17403,11757,929,42,2016.1,1971.3,114686,260289,190838,17102,42,1983.1,1971.3,104162,227794,171825,14351,42,1983.1,1971.3,2875,7752,4709,382,37,1983.2,1971.4,0.378885630498534,0.470423762663859,0.210362386908588,15,1983.2,1998.3,13.0893524105039,15.89,9.34,38,1987.1,1997.2,473.191663840061,473.858562145341,533.7,43.7,4,2016.2,1971.3,49.7165178205455,0,0,3551.381,31,1983.2,0,0,3219,28,1983.2,0,0,27093,30,1983.2,0,0,1798,29.5,1983.2,6161.12474860656,10,2,191952.41402,36,107222.054,41,20062877.345,47,9286339.673,40,953.120980547671,22,1.8834343687484,24,1.13519232501008,6,35100,6,127675.9275,48,0.825052754989502,35,"0.4","33",14.2891417655551,42,0,27.5,0,1,1,1,0,27.5,1850900.946,4983241.857,2.2333046428029,13,3.33417362764846,44,13.623,50,8.85061538461538,42,64.9681816385186,1,8.85061538461538,42,64.9681816385186,1,404.879,49,408.587,48,"North Dakota",2428,15407267.046,"0.85","31",3906435.174,46,15474880.4519324,1.24114344123356,2.57535459817643,5.05801923076923,5.05801923076923,10.6496666666667,404.80125,414.010833333333,47.494624846811,47.494624846811,25.075,25.2545,47,782.59454,0,27.5,48,0,"N.A."
"NE","2018.1",2018,1,29485.434,73224.22,75649.759,2318.662,46,2009.2,1971.3,11647,46047,34948,7931,44,2009.4,1972.2,7356,18817,22141,3412,41,1975.1,2016.3,101141,287397,327295,37274,46,1983.1,1971.3,87306,224371,282568,44035,46,1983.1,2017.4,1589,5111,8602,917,46,2009.3,1977.4,0.266517182040987,0.554372778750829,0.236805002145528,43,2010.1,1989.1,11.9238454588936,15.4,10.28,47,2010.2,1980.2,342.451149840903,332.017968206821,342.5,42.9,25,2018.1,1971.3,39.1359784788529,0,0,4592.177,31,1975.1,0,0,13165,28,1975.1,0,0,96451,30,1975.1,0,0,4304,29.5,1975.2,3891.38651219642,37,20,78934.02829,49,73224.22,47,42095818.314,36,7814408.486,41,848.370172694741,41,0.922938711601926,48,0.223925369255116,52,9000,42,407198.9968,38,1.25626112523924,23,"0.82","12",66.7318540450141,11,0,27.5,0,1,1,1,0,27.5,885093.147,10485974.014,0.828135566269555,42,2.97334767649977,51,29.925,39,7.81830769230769,46,26.1263414947625,29,7.81830769230769,46,26.1263414947625,29,957.998,36,1006.44133333333,37,"Nebraska",3552,32208142.043,"1.71","7",7986497.906,37,32413563.4398823,0.580881036015448,2.85787320143859,5.55959615384615,5.55959615384615,28.8245,954.22375,1008.50625,19.2877453341642,19.2877453341642,57.9,58.942,34,2323.41936,0,27.5,40,0,"N.A."
"NH","2018.1",2018,1,15948.537,51586.056,75553.603,1519.163,51,2009.2,1972.4,7964,29095,37137,5833,49,1974.4,2000.2,4285,12938,31034,2086,50,1975.2,1999.4,58992,188742,319890,20449,50,2010.1,1987.4,50379,161954,278058,16768,51,2009.2,1987.4,572,2371,7276,1,51,2009.3,1985.3,0.174415183169045,0.420469207145323,0.0179073399271213,50,2010.1,1988.1,12.5176997990416,18.02,5.38,43,2004.1,1988.1,327.085216296586,330.095251677397,341.2,45.1,32,2017.4,1971.2,31.5998585396051,0,0.63,10183.863,31,2010.3,0,0,5320,28,2010.3,0,0,35712,30,2010.3,0,1,2554,29.5,1976.1,3987.17390632246,36,33,57416.80473,51,51586.056,51,35029494.086,38,7465666.722,44,1044.60990312244,15,0.875199877426299,50,0.237925697968754,50,14000,26,289696.452,47,1.04733559974128,28,"0.42","30",67.3894787382078,9,0,27.5,0,1,1,1,0,27.5,925280.332,8574403.675,0.714391936109684,46,3.00500998343667,50,22.4846666666667,46,4.55669230769231,50,20.2657765634016,40,4.55669230769231,50,20.2657765634016,40,648.96,41,748.239333333333,41,"New Hampshire",3012,27462147.451,"1.04","22",6771047.994,38,27660327.0309499,0.566259568568302,2.6247123965524,3.64559615384615,3.64559615384615,19.6225,644.87625,747.48325,18.5786528416163,18.5786528416163,42.383,42.60225,39,1642.09583,0,27.5,47,0,"N.A."
"NJ","2018.1",2018,1,598461.029,2007266.093,1010195.065,64334.47,4,2009.1,1972.4,135081,533544,292554,96503,5,1975.1,1987.3,79944,256805,185783,45958,6,1975.1,1988.2,1508982,5260858,2904747,671413,6,2009.1,1972.4,1379885,4719031,2724700,715819,6,1975.1,1987.4,38801,122602,85010,18202,3,2009.3,1988.4,0.462490239200878,0.62024413391367,0.332450105433556,4,2009.4,1988.3,18.3759311539884,21.78,13.67,4,2010.1,1974.1,452.554370538046,443.962299024666,452.6,61.3,6,2018.1,1971.1,36.3436389140943,0,0,269855.064,31,2009.3,0,0,57890,28,2009.2,0,0,772879,30,2009.3,0,0,62935,29.5,1975.3,7816.30456182707,2,26,2248650.74912,5,2007266.093,4,250590367.757,8,91054841.609,3,1221.56809909449,6,1.91093449206331,23,0.844229629096293,13,33500,7,1943442.16,6,0.935346431036492,31,"0.32","37",11.6184426177123,43,0,27.5,0,1,1,1,0,27.5,15557859.989,58703636.429,2.99285787301777,4,4.79095159310527,16,214.449333333333,11,116.645615384615,6,54.3930883680134,6,116.645615384615,6,54.3930883680134,6,3920.927,11,4476.13233333333,11,"New Jersey",64122,206104869.461,"0.56","38",49067437.089,8,207777791.79062,2.5838960739709,4.60802147083702,101.6965,101.6965,207.8775,3944.96675,4510.83225,48.921359935539,48.921359935539,235.93,234.8875,9,11832.40393,0,27.5,6,0,"N.A."
"NM","2018.1",2018,1,36665.485,148640.384,99863.247,2686.371,39,2009.2,1972.3,10602,46090,30146,10438,45,2009.1,2000.3,6319,25158,19668,3613,44,2009.1,1972.2,127572,517502,410402,74262,41,2009.2,1972.3,112621,455082,341219,58692,41,2009.2,1972.3,2662,11528,11890,994,38,2009.3,1978.4,0.418226672471339,0.655084251346992,0.218260579806731,10,2010.3,1979.4,18.0889577867875,21.63,14.05,5,2010.2,1980.2,328.66819926179,330.092547943089,343.3,44.7,30,2016.3,1971.2,40.7783223856701,0,4.316,45090.424,31,2010.3,0,1,6697,28,2010.3,0,13,131819,30,2010.3,0,0,2596,29.5,1975.4,5908.27506161062,14,14,160747.72876,41,148640.384,37,32815616.235,39,13378562.944,36,809.480450964031,46,1.2242217769245,39,0.646392224563461,23,24300,14,424964.2845,36,1.66296935447566,18,"1.01","6",34.3081151754829,30,0,27.5,0,1,1,1,0,27.5,2452711.367,8084784.34,1.2695125912339,30,5.41769804624189,5,50.7193333333333,37,10.1643076923077,41,20.0403022364405,41,10.1668461538462,41,20.0453071554164,41,778.832,38,936.178666666667,38,"New Mexico",5722,25338064.843,"1.15","19",6287646.221,39,25554546.9527906,1.2786985279808,5.87637312643851,10.2207115384615,10.2160769230769,54.7661666666667,779.59825,932.198583333333,18.6624556008634,18.6539930487684,47.681,47.454,37,2406.17197,0,27.5,36,0,"N.A."
"NV","2018.1",2018,1,81552.457,299523.782,295712.075,3806.838,24,2009.2,1971.2,30325,125171,92304,16436,28,2009.1,1989.2,15879,61120,55545,5250,27,2009.1,1973.2,256693,1023567,1030863,82510,26,2009.2,1978.3,243050,910664,960458,70349,26,2009.2,1978.3,5364,21468,32927,1506,25,2009.3,1978.3,0.343509984639017,0.632903323393405,0.212521188206852,20,2010.1,1989.3,14.8996073298429,20.98,11.44,26,2010.2,1979.2,349.076399723056,342.173063112694,349.1,46.5,22,2018.1,1971.2,37.5473780435299,0,0,50108.951,31,2011.1,0,0,14932,28,2010.4,0,0,159403,30,2011.1,0,0,7063,29.5,2011.1,4900.58543848168,24,24,650371.16151,19,299523.782,21,61462069.311,32,29954806.125,20,911.310139195342,29,2.02828976580465,20,1.14796683747194,5,29500,11,1105049.756,14,2.06435378376427,10,"0.69","18",44.2722677426663,22,0,27.5,0,1,1,1,0,27.5,6020672.79,15493714.899,1.53963834126706,24,5.07987527619223,8,75.555,30,19.9586153846154,26,26.4160087149962,27,19.9586153846154,26,26.4160087149962,27,1313.264,33,1487.33966666667,32,"Nevada",14418,52925768.164,"0.92","26",13236315.614,30,53530056.945229,1.54275087426239,4.96583522255978,19.8615,19.8614807692308,73.14275,1296.993,1472.97716666667,27.1544343082534,27.1544080161476,70.576,69.45025,32,6121.17146,0,27.5,14,0,"N.A."
"NY","2018.1",2018,1,671530.031,2238384.475,1343647.9,126179.116,2,2009.2,1973.4,234261,908656,694801,188524,3,1974.4,2000.3,127575,409456,355805,78936,2,1975.1,1985.2,2216963,7912723,5933085,1751686,2,1975.1,2000.2,2048654,6914775,5422159,1535077,2,1975.1,2017.4,31647,132889,138214,31647,4,2009.3,2018.1,0.317534922174804,0.592410949772015,0.247357651315841,30,2003.2,1974.1,16.8877119885897,22.95,14.43,12,1976.1,1971.1,342.266530054203,340.402623497836,343.1,57.8,26,2017.4,1971.3,25.5412020229462,3.6,4.68,394502.271,4,2010.4,0,1,139668,28,1975.3,12,14,1316639,4,1975.4,0,0,81711,29.5,1975.4,5466.72774364034,19,48,2780102.1368,3,2238384.47592308,3,632487517.296,3,87791710.347,4,1332.75882314395,2,3.02308867831585,7,0.54051844363131,30,10900,35,1598912.895,9,0.322755946262241,47,"0.15","45",8.57178690894914,45,0,27.5,0,1,1,1,0,27.5,10718532.749,143977363.331,1.89681855269063,17,4.99845839856212,12,482.628333333333,3,171.312307692308,2,35.4957004925753,18,171.314307692308,2,35.4961148901276,18,9107.652,3,9655.54366666667,4,"New York",103708,491014004.66,"0.28","44",111013533.853,3,495393783.915254,1.67889238775232,4.67859464313286,153.064961538462,153.064096153846,453.89925,9126.3485,9701.14516666667,33.7222327506515,33.7220420949905,522.681,525.083,4,9933.8831,0,27.5,9,0,"N.A."
"OH","2018.1",2018,1,320965.616,912491.475,915732.326,19669.725,9,2009.2,1973.3,91791,368129,493816,78523,9,1982.4,1973.2,61059,169831,262818,29637,8,1975.1,1973.2,947071,2994003,3519784,465660,9,1982.1,1973.3,854439,2518010,3169009,351318,9,1982.1,1973.4,10244,44295,85247,6345,12,2009.3,1973.4,0.250761427067175,0.495215345673764,0.170294012457902,46,2010.3,1999.1,14.8265628772132,22.53,10.24,27,2010.1,1974.1,379.564619889728,367.164266713431,379.6,49.3,16,2018.1,1971.2,39.4694512300048,4.129,8.844,148489.523,3,2010.4,2,3,63037,1,1982.3,29,122,835674,2,1982.4,15,46,54560,2,1982.4,5372.93824449011,21,19,1311574.88273,8,912491.477230769,9,255200269.885,7,44071769.44,12,930.249231421571,24,2.81652735021206,11,0.61960685812957,26,9000,42,453774.2469,34,0.224420032757711,50,"0.1","48",5.96749790215848,47,0,27.5,0,1,1,1,0,27.5,4956584.365,63069819.244,1.40702006102711,28,4.72732793136365,17,271.121333333333,7,73.1576153846154,9,26.9833489254315,26,73.165,9,26.9860726562769,26,5311.407,7,5735.192,7,"Ohio",32646,200335652.15,"0.23","47",49223404.005,7,202198636.781194,1.09753226758501,4.74193132626095,57.92525,57.9159615384615,274.123,5275.68025,5779.6515,21.1311163236941,21.1277278953103,225.862,224.4555,10,3088.4843,0,27.5,32,0,"N.A."
"OK","2018.1",2018,1,54890.462,234745.728,154108.558,5870.743,26,2009.2,1972.3,18693,80759,72662,18693,34,1982.4,2018.1,9316,39505,40001,7273,38,1982.4,1978.3,179785,776748,657559,84791,32,1983.1,1973.4,153666,659267,552703,86510,33,1983.1,1978.3,4087,18042,22782,2430,31,1983.1,1998.4,0.429183120034255,0.597985028797158,0.256854814122238,8,1983.2,1999.3,16.6881913681812,20.14,10.25,13,2010.2,1982.2,364.147529223685,362.427002489616,385.9,14.7,19,2016.2,1971.1,42.8999161958867,0,0,4505.214,31,1976.1,0,0,8677,28,1976.1,0,0,83399,30,1976.1,0,0,6809,29.5,1975.4,5942.17764839894,13,9,236397.70583,30,234745.728,26,67100986.55,30,23860400.37,25,844.819837956621,42,0.91242101818931,49,0.366115838108572,42,17700,19,987141.0572,19,1.64696062318185,19,"1.21","3",50.4618030211821,19,0,27.5,0,1,1,1,0,27.5,3547835.523,16367508.122,0.913684197687343,40,4.04191895382226,32,74.5626666666667,31,13.974,32,18.7412825006259,42,13.974,32,18.7412825006259,42,1520.328,30,1844.73433333333,29,"Oklahoma",9571,59464050.811,"1.68","8",14656388.543,29,59937137.7375673,0.980184952031006,4.14209345840535,15.1152884615385,15.1152884615385,76.2274166666667,1527.4305,1840.56241666667,19.8292020410921,19.8292020410921,89.755,89.32525,28,5584.73242,0,27.5,19,0,"N.A."
"OR","2018.1",2018,1,136138.477,471413.432,432594.19,7771.417,16,2009.2,1972.3,57454,210035,187800,35888,15,2009.1,1972.3,24667,79824,91236,11218,20,2009.1,1972.3,409594,1420406,1591135,208662,17,2009.1,1972.3,357591,1233203,1430426,171876,16,2009.1,1972.3,6332,25442,43089,2889,21,2009.3,1973.4,0.295775302843591,0.54957083688728,0.183519318337275,36,2010.2,1979.4,15.4490253557827,20.47,11.96,22,2010.1,1980.2,385.504139757496,387.731571034091,397.4,42.8,15,2017.4,1971.2,40.1626160691279,0,0,81435.684,31,2010.3,0,0,29097,28,2010.2,0,0,260919,30,2010.3,0,0,9745,29.5,2010.4,5905.66035277611,15,15,990439.05343,11,471413.432,14,92506932.484,24,43127114.999,13,965.404171796797,21,2.22225755426075,18,1.34551265466031,2,38400,4,3982430.846,2,5.48882101728784,1,"1.68","1",101.374222514729,3,0,27.5,0,1,1,1,0,27.5,9288146.75,23200968.741,1.74156038783281,20,4.31232462083598,27,91.239,27,32.2766153846154,16,35.375897789997,19,32.2766153846154,16,35.375897789997,19,1857.88,26,2115.773,26,"Oregon",18092,71229026.92,"2.18","1",18203149.503,24,72555305.2915508,1.49932606288772,4.11377824372727,27.8097115384615,27.8097115384615,87.13125,1842.73025,2117.69391666667,31.9170349770737,31.9170349770737,131.025,129.0945,21,22204.39794,0,27.5,2,0,"N.A."
"PA","2018.1",2018,1,598125.82,1893877.045,1388226.266,65466.626,5,2009.1,1971.3,236185,836785,598027,165520,2,1982.4,2017.3,110831,337453,294655,70828,3,1975.1,1973.2,1823593,6284979,4703536,1317441,3,2009.1,1988.4,1614714,5268303,4309149,1122944,3,1983.1,1988.4,22891,92496,122786,15144,6,2009.3,1973.4,0.27230254267975,0.477215885140573,0.166516852863822,40,2010.2,1980.1,15.61196077676,21.11,12.44,20,2010.2,1971.1,389.229376621724,379.021522197842,399,50.6,13,2016.1,1971.3,37.0584637016111,0.177,3.579,190842.176,7,2010.4,0,0,77854,28,1983.1,0,0,664106,30,1983.1,0,0,59353,29.5,1975.4,5612.26910117853,18,25,3044923.98401,2,1893877.045,5,302318564.44,6,49816066.155,11,1022.76641916314,16,5.47983606233831,1,1.1655494074456,4,9750,37,1764283.315,8,0.746190913291427,38,"N.A.","N.A.",11.1788670948277,44,0,27.5,0,1,1,1,0,27.5,5564953.611,73874903.888,2.50732859515707,8,5.02102327018977,10,318.836333333333,5,141.133538461538,3,44.2651993221826,11,141.133538461538,3,44.2651993221826,11,5712.336,6,6350.027,6,"Pennsylvania",75431,234210471.093,"N.A.","N.A.",56835700.432,6,236438595.481925,2.13881548287964,4.79293587894906,121.816596153846,121.814807692308,307.243166666667,5684.405,6409.7485,39.6482686581625,39.6476865584667,300.497,300.36325,6,10770.16467,0,27.5,7,1929860,"Oct. 2012"
"PR","2018.1",2018,1,41523.558,157279.606,85320.379,9234.306,37,2009.3,1971.2,23995,132994,129115,18734,32,2006.2,2016.4,16184,82807,46272,6319,26,1998.4,1984.1,363532,1460949,851458,241505,21,2009.3,1971.2,356725,1352135,760622,198213,17,2009.3,1983.2,8234,28036,26319,3103,16,1976.3,1983.2,0.440589002561564,0.986009579026973,0.302942158218492,7,1984.3,1982.2,16.3287524001594,39.39,13.77,16,1984.3,1989.4,118.766303861177,118.307247617942,120.4,29.7,53,2013.4,1971.1,23.0816006714395,0,0,38265.429,31,2010.4,0,0,35906,28,1976.1,0,0,317982,30,2010.4,0,0,28829,29.5,1976.1,1899.35157655754,53,52,160967.44625,40,157279.606,34,23136285.656,46,4797370.378,49,512.560845766351,53,3.25416292050153,6,0.938691495211328,8,7000,51.5,513146.2616,32,3.11881797874398,5,"0.72","16",39.1516439785588,28,0,27.5,0,1,1,1,0,27.5,456286.711,5418955.994,3.21533573950767,3,10.1710628525626,1,110.990333333333,21,28.0286153846154,21,25.2532040789878,32,28.0286153846154,21,25.2532040789878,32,844.095,37,1091.23633333333,36,"Puerto Rico",20360,16631049.583,"1.18","16",3881291.304,47,16453228.9186898,3.20176220162368,10.5398591216818,28.1871923076923,28.1871923076923,115.226916666667,868.05025,1093.27175,24.4623332144115,24.4623332144115,NA,NA,53,2918.26639,0,27.5,33,0,"N.A."
"RI","2018.1",2018,1,51663.941,149036.205,121114.497,6857.62,28,2009.1,1972.4,16030,58805,103095,10977,39,1978.2,2017.3,10755,28421,51557,5619,35,1978.2,2017.4,159754,474657,487112,91376,35,1975.1,2017.4,144747,428209,444513,81401,34,1975.1,2017.4,2022,8277,12648,1870,43,1975.2,1987.4,0.284188841201717,0.625,0.185651843593058,39,2009.3,1979.1,15.0666408641497,19.5,9.18,24,2010.1,1979.1,363.791891594946,356.126324625697,391,54.1,20,2009.4,1971.3,35.7799309429699,0,0,40351.984,31,2010.3,0,0,11474,28,1975.2,0,0,117966,30,1975.3,0,0,8510,29.5,1975.3,5243.87618310404,22,27,233495.84557,31,149036.205,36,24076955.001,44,7732971.776,43,995.324236911836,18,2.92893157457193,8,1.24501169499734,3,22400,17,340470.6228,43,1.8641688717322,17,"0.44","38",27.4137916595501,35,0,27.5,0,1,1,1,0,27.5,1296528.949,5871904.608,2.71364515718619,6,5.14888572071734,7,28.5913333333333,42,12.3295384615385,35,43.1233420204438,13,12.3295384615385,36,43.1233420204438,14,469.844,45,555.291666666667,44,"Rhode Island",6426,18192074.252,"0.64","40",4496621.041,44,18263936.7045987,1.97671446353804,4.45966419484384,9.17832692307692,9.17832692307692,24.79475,465.1935,555.954416666667,37.0172190607968,37.0172190607968,34.616,34.3885,42,1966.4546,0,27.5,44,0,"N.A."
"SC","2018.1",2018,1,44039.726,172639.806,259328.374,4284.076,34,2009.2,1973.3,36924,141089,257606,16617,24,1982.1,1973.2,15038,56063,132837,6914,28,1975.1,1972.4,225198,833196,1265719,115424,29,2009.1,1973.2,170731,659296,1076133,93407,31,2009.1,1973.3,5540,20917,37591,2196,23,2009.3,1973.4,0.358045190003423,0.570325546546108,0.176709322068994,19,2009.2,1990.2,11.7599129550684,18.85,7.89,48,2010.1,1975.1,255.437186662188,258.356744306645,263.2,41.7,46,2017.4,1971.1,30.8554176373997,0,0,45712.569,31,2009.4,0,0,17622,28,1975.3,0,0,189634,30,2009.4,0,0,12902,29.5,2009.4,3079.3893655352,47,36,363056.24821,27,172639.806,29,86680045.693,25,24314032.89,24,837.314041063219,43,1.39699352031271,36,0.483601309261105,36,14000,26,739362.4004,23,1.03505291360978,29,"0.35","36",51.3922542568195,17,0,27.5,0,1,1,1,0,27.5,3259765.799,21278515.592,0.878953383598569,41,4.56117653385264,19,105.742333333333,22,17.4256923076923,29,16.4793907590076,45,17.4256923076923,29,16.4793907590076,45,1995.807,23,2318.31266666667,23,"South Carolina",16111,70236671.716,"0.78","33",17233918.99,25,71432328.7899796,0.811241776837974,4.28732440094195,16.1490192307692,16.1490192307692,99.4265,1990.799,2318.86408333333,16.2421680646198,16.2421680646198,118.449,114.29025,24,4132.15993,0,27.5,25,0,"N.A."
"SD","2018.1",2018,1,12612.123,26523.868,20468.899,448.072,52,2010.1,1971.3,3114,12062,13496,1911,52,1978.4,1971.2,2496,5708,6941,693,52,2009.1,2017.3,40007,95543,96927,14156,53,2010.1,1971.3,37369,81793,80547,12003,53,2010.1,1971.3,248,923,1370,105,53,1975.2,2000.3,0.144761606022585,0.335339943342776,0.0881535038932147,53,1975.2,2000.3,14.3295374912404,15.81,9.75,32,2012.4,2001.1,342.846367291466,330.048183695469,342.8,39.5,24,2018.1,1971.3,41.4044282211054,0,0,1138.546,31,1981.1,0,0,1911,28,1980.4,0,0,8848,30,1976.1,0,0,455,29.5,1977.1,4646.78836720392,30,11,36414.16775,52,26523.868,52,17020192.936,49,4759008.477,50,797.132572228666,48,0.709645699586763,51,0.267113332844061,48,15000,22,113082.6587,50,0.890325267670582,34,"0.88","9",51.1611618788029,18,0,27.5,0,1,1,1,0,27.5,626468.348,4281924.164,0.769794545074264,44,3.80833584365979,37,17.362,48,3.12561538461538,53,18.0026228810931,43,3.12561538461538,53,18.0026228810931,43,415.901,48,455.894666666667,47,"South Dakota",693,12643359.521,"1.72","6",3165072.203,50,12701274.7819531,0.451114305701464,3.35337798118377,1.91807692307692,1.91807692307692,15.31925,410.611,456.886833333333,12.5206973127074,12.5206973127074,27.858,27.72225,46,656.98786,0,27.5,50,0,"N.A."
"TN","2018.1",2018,1,60047.333,210958.646,313554.548,7536.072,25,2009.2,1972.4,34181,140582,277794,26885,27,1982.1,1973.2,18833,63487,121148,13492,24,1975.1,2017.4,222074,899780,1476423,139261,30,2009.1,2016.4,255418,900164,1408685,170977,25,2009.1,1972.4,4935,19431,46979,4037,26,2009.3,1973.4,0.285619790977643,0.536641182380085,0.195816760389521,38,2010.1,1984.3,14.1787137524218,19,8.77,33,2010.1,1990.4,237.299087964438,237.063905094176,241.9,41.4,48,2016.4,1971.1,25.7317307951259,0,0,63500.428,31,2010.3,0,0,27847,28,1980.3,0,0,289284,30,2010.3,0,0,40924,29.5,1976.2,3322.86367287791,43,47,291844.04061,28,210958.646,27,137578199.652,18,23790642.447,26,921.290164978254,26,1.14899997177029,40,0.23665513701114,51,8000,47,1074411.574,15,0.920591599575218,33,"0.42","30",61.1159539201821,13,0,27.5,0,1,1,1,0,27.5,2697252.471,33437550.144,0.60200482674097,51,3.61329749974243,38,116.319333333333,20,17.2243846153846,30,14.8078433066885,46,17.2243846153846,30,14.8078433066885,46,2875.73,16,3219.20166666667,17,"Tennessee",15563,115507518.008,"0.9","29",28118336.105,17,116708817.94878,0.607211334132056,3.48108051493962,17.4588461538462,17.4588461538462,111.7745,2871.77125,3210.7915,15.6197040951614,15.6197040951614,124.32,123.72425,23,6061.58587,0,27.5,15,0,"N.A."
